,Raw Tweet,Text Extraction,Hashtag Extraction,Reference Extraction,URL Extraction,Tweet Location,Tweet Time
68,"RT @ibragharawi: Muslims entering the #White_House and ask @BarackObama to leave after gay marriage approval
https://t.co/NQxKzmBtaI
#","  muslims entering the whitehouse and ask  to leave after gay marriage approval

",[#White_House],"[@ibragharawi, @BarackObama]",[https://t.co/NQxKzmBtaI],Lagos,Sat Jul 11 10:58:57 +0000 2015
69,RT @palestinagr: #ISupportBDS because the word is dominated by a li @un @hrw @BarackObama http://t.co/yJ25TW5vKJ,  isupportbds because the word is dominated by a li    ,[#ISupportBDS],"[@palestinagr, @un, @hrw, @BarackObama]",[http://t.co/yJ25TW5vKJ],,Sat Jul 11 10:58:50 +0000 2015
70,"@BarackObama #Britain supporting the killing of #Christians in #Nigeria. Let #Biafra go, we are dying. http://t.co/NKW6r7ckPQ", britain supporting the killing of christians in nigeria let biafra go we are dying ,"[#Britain, #Christians, #Nigeria, #Biafra]",[@BarackObama],[http://t.co/NKW6r7ckPQ],"alexandria, egypt",Sat Jul 11 10:58:36 +0000 2015
71,@NevvalS @Dr_MustafaCeric: Otherwise we have the right to get means of self-defence.Genocide @Never Again. @PutinRF_Eng @BarackObama,  otherwise we have the right to get means of selfdefencegenocide  again  ,[],"[@NevvalS, @Dr_MustafaCeric, @Never, @PutinRF_Eng, @BarackObama]",[],,Sat Jul 11 10:57:58 +0000 2015
72,RT @BarackObama: Retweet to spread the word. #LoveWins http://t.co/JJ5iCP4ZWn,  retweet to spread the word lovewins ,[#LoveWins],[@BarackObama],[http://t.co/JJ5iCP4ZWn],"Lagos, Nigeria",Sat Jul 11 10:57:55 +0000 2015
73,@madspinstergirl UGH he is really too much! @BarackObama we rly hate u 4 wat u have done to our nation jst chill ok #obamasucks #obamadrools, ugh he is really too much  we rly hate u 4 wat u have done to our nation jst chill ok obamasucks obamadrools,"[#obamasucks, #obamadrools]","[@madspinstergirl, @BarackObama]",[],"Ludhiana, Punjab",Sat Jul 11 10:57:53 +0000 2015
74,Watching the news in Spain &amp; a report about America comes on &amp; @BarackObama appears. Makes me realize what a good lookin president we have;),watching the news in spain and a report about america comes on and  appears makes me realize what a good lookin president we have,[],[@BarackObama],[],,Sat Jul 11 10:57:10 +0000 2015
75,Hmmm. @GOP is crushin' on @BarackObama cuz' of #Iran? Know when this #Iran thing started? With #Reagan #smh,hmmm  is crushin on  cuz of iran know when this iran thing started with reagan smh,"[#Iran, #Iran, #Reagan, #smh]","[@GOP, @BarackObama]",[],東京都,Sat Jul 11 10:55:55 +0000 2015
76,@barackobama / Good Evening / Morning Sir. God Bless U All Sir,  good evening  morning sir god bless u all sir,[],[@barackobama],[],,Sat Jul 11 10:55:23 +0000 2015
77,"RT @biggerthanbebo: @BarackObama what's up man, I think you should quit your job and we go a heavy session, or at least let me work in the ",   whats up man i think you should quit your job and we go a heavy session or at least let me work in the ,[],"[@biggerthanbebo, @BarackObama]",[],,Sat Jul 11 10:55:14 +0000 2015
78,Yeah im gonna make someone mad today @BarackObama http://t.co/IxRU28t3J8,yeah im gonna make someone mad today  ,[],[@BarackObama],[http://t.co/IxRU28t3J8],Liberia ,Sat Jul 11 10:55:06 +0000 2015
79,@WhiteHouse @BarackObama @POTUS bullshit,   bullshit,[],"[@WhiteHouse, @BarackObama, @POTUS]",[],"Enugwu, Republic of Biafra",Sat Jul 11 10:55:05 +0000 2015
80,"@BarackObama ONLY 1/3 OF IT IS IN SYRIA AND GUESS WHAT, THE SUBJECTS WERE BORN IN ISRAEL.  THE GOLAN HEIGHTS IS ISRAEL.", only 13 of it is in syria and guess what the subjects were born in israel  the golan heights is israel,[],[@BarackObama],[],,Sat Jul 11 10:54:45 +0000 2015
81,"@BarackObama The work of a country related to sports other than Ministry of Education, Culture, Sports, Science and Technology,", the work of a country related to sports other than ministry of education culture sports science and technology,[],[@BarackObama],[],"ari, the vamps, stereo kicks✌️",Sat Jul 11 10:54:27 +0000 2015
82,It is good to be black @TonyOElumelu @BarackObama #TEEP @TonyElumeluFDN #AfricanEntrepreneurs @africatechie @SkottyTomi @MBuhari,it is good to be black   teep  africanentrepreneurs   ,"[#TEEP, #AfricanEntrepreneurs]","[@TonyOElumelu, @BarackObama, @TonyElumeluFDN, @africatechie, @SkottyTomi, @MBuhari]",[],ABJ..,Sat Jul 11 10:53:46 +0000 2015
83,@BarackObama @MichelleObama #LandOfTheFree don't lift the embargo unless #Castro agrees to protect #HumanRights... http://t.co/Cnmtm4CTJ2,  landofthefree dont lift the embargo unless castro agrees to protect humanrights ,"[#LandOfTheFree, #Castro, #HumanRights]","[@BarackObama, @MichelleObama]",[http://t.co/Cnmtm4CTJ2],"California, USA ",Sat Jul 11 10:53:36 +0000 2015
84,RT @MeirJa: As a citizen of the state of #Israel I trust our friends @JohnKerry &amp; @BarackObama &amp; believe that they have our back in nuke ta,  as a citizen of the state of israel i trust our friends  and  and believe that they have our back in nuke ta,[#Israel],"[@MeirJa, @JohnKerry, @BarackObama]",[],"Madrid, Spain",Sat Jul 11 10:53:29 +0000 2015
85,RT @iam_a_baifran: #Freedomforbaifrans We want our freedom @BarackObama @AmnestyOnline @amnesty @BBCWorld @NewsFromAmnesty @UN @nnamdikanu1,  freedomforbaifrans we want our freedom       ,[#Freedomforbaifrans],"[@iam_a_baifran, @BarackObama, @AmnestyOnline, @amnesty, @BBCWorld, @NewsFromAmnesty, @UN, @nnamdikanu1]",[],,Sat Jul 11 10:53:26 +0000 2015
